	Lun1	Lun2	Lun3-A	Plu1-A	Di1-A	Per1-A	Per3-A	Per2-A	Per4-A	Per5-A	Liv1-A	L1	L2	L3	L4	Ld1-A	Ld2-A	Ov1-A	Ov2-A	P2	P3	P4	P5	P6	P7	P8-A	P1	Pan1-A	Sp1-A	SB1-A	SB2-A	St1-A	St2-A	N1
Liv1-A	0.297764421670435	0.445694530053706	0.590947181611985	0.185667716341072	0.456837364026254	0.214973770215901	0.1782141434073	0.227119208506974	0.182133761274556	0.162350229721558	0	0.344492065567753	0.410454783038721	0.369059096931473	0.420649511172775	0.505393077003289	0.48791764059293	0.216439985182052	0.316877300351816	0.360464352178835	0.420026373216267	0.367869122246671	0.426611362294387	0.413231915724569	0.36972626865498	0.203096633826946	0.386360921195494	0.202710968933341	0.20981553023975	0.200369186040047	0.196738875126337	0.19209010233688	0.214689827446138	1.0471975511966
L1	0.283289561875383	0.373368955977896	0.527382121686957	0.348088008799827	0.652142778854444	0.363117564212743	0.399736327696279	0.424585326601628	0.364158654918418	0.377295571631288	0.344492065567753	0	0.244995377473349	0.294503595261079	0.305623621468604	0.42944570469085	0.44822210348533	0.482399758192088	0.518855014983127	0.254620104870311	0.292933767360399	0.224274384604884	0.294114516905111	0.319760860134985	0.304017217184596	0.376626482617573	0.217792932324279	0.389169393425112	0.367095939244705	0.36380896478267	0.419530731751487	0.432220688070587	0.361405227261061	1.0471975511966
L2	0.304722139116688	0.284607279225352	0.578656166796639	0.392758169558179	0.748313116622006	0.41244216647889	0.405262606334007	0.515187552915371	0.409861888058155	0.382421750229415	0.410454783038721	0.244995377473349	0	0.254423550034282	0.262217825094231	0.441733950295635	0.450204442716992	0.505600355561901	0.608217217986601	0.318798739052111	0.203222118539147	0.247453747243476	0.217275980130893	0.281854382593557	0.317737272737422	0.384084733158436	0.212202332094977	0.415720503120333	0.435375138910906	0.374939344590804	0.429204830263983	0.459035621558321	0.368064614807752	1.0471975511966
L3	0.315975278341452	0.314711002294805	0.59276354446179	0.371132719594297	0.747205199444243	0.415325926109145	0.334030505379471	0.461662000498182	0.344320235997036	0.299784952976711	0.369059096931473	0.294503595261079	0.254423550034282	0	0.349899710533742	0.474721865019956	0.476360402406415	0.454039484785228	0.564129329799676	0.290308856146984	0.226885786517847	0.207583085513208	0.322824325630115	0.291212981312734	0.364044551713159	0.361787598512588	0.204911023608124	0.350875524095952	0.356336095331579	0.351883006377621	0.373192379619013	0.385938659443677	0.355024993988059	1.0471975511966
L4	0.364528840680978	0.261387792168625	0.574856098803729	0.452078164189356	0.73120838205187	0.485360041364556	0.440488521322225	0.514201820168492	0.45837721334005	0.43873143577576	0.420649511172775	0.305623621468604	0.262217825094231	0.349899710533742	0	0.352267849041251	0.379811843576212	0.54138518519543	0.63676113905774	0.313111244920583	0.205079109892592	0.350533510096988	0.312315675678898	0.273838419746833	0.310236192236518	0.41920107399977	0.365618737049667	0.435452765319098	0.46503141258053	0.424035026361512	0.471274295710579	0.493763260595552	0.42366601473354	1.0471975511966
Ld1-A	0.51158186410684	0.441634224597977	0.638452237742283	0.564028974690026	0.787657592331231	0.591921762694091	0.560241633575308	0.573878746455715	0.489474139849326	0.554731052821318	0.505393077003289	0.42944570469085	0.441733950295635	0.474721865019956	0.352267849041251	0	0.150392698466741	0.656357653030227	0.667844374608129	0.350336107120283	0.418305717122641	0.456717748575502	0.398057695370069	0.403871749653833	0.349287633174121	0.547231598451956	0.512154645048948	0.565885112362809	0.534717438556985	0.542335002295921	0.583460459284737	0.622616224597089	0.549153293352129	1.0471975511966
Ld2-A	0.512350465603187	0.44031831506337	0.5728643363177	0.532942917222782	0.734170979613411	0.564500134223294	0.554063086300061	0.524808256957566	0.448062702645459	0.532173189298147	0.48791764059293	0.44822210348533	0.450204442716992	0.476360402406415	0.379811843576212	0.150392698466741	0	0.631738302661144	0.607143644584342	0.330127027041667	0.437526230634824	0.497003404299032	0.381614291966428	0.438895447709581	0.332557291168463	0.547714556255922	0.51023752851041	0.55265427621489	0.511747363224173	0.533771507972346	0.552294491150505	0.609678735024562	0.543914820957616	1.0471975511966
Ov1-A	0.39674677989147	0.497061498697028	0.674962743227545	0.268485800336388	0.451572593135233	0.262967148008658	0.188977208572686	0.276606635901259	0.250035064905073	0.196325141637108	0.216439985182052	0.482399758192088	0.505600355561901	0.454039484785228	0.54138518519543	0.656357653030227	0.631738302661144	0	0.337333900367542	0.515796359606652	0.49881889652681	0.470732196306912	0.521035534115927	0.482226461153481	0.47040555873922	0.203016547186019	0.45793907241399	0.208460435303588	0.304566979607922	0.22487644807965	0.165045522058258	0.155823345919557	0.214447934423821	1.0471975511966
Ov2-A	0.472883756906414	0.656699739387703	0.591976814486007	0.295262187377436	0.363739341537843	0.26956878519105	0.416152612398877	0.229986830846812	0.277122034010851	0.370896008847689	0.316877300351816	0.518855014983127	0.608217217986601	0.564129329799676	0.63676113905774	0.667844374608129	0.607143644584342	0.337333900367542	0	0.473615095117599	0.636556723524241	0.584375092967526	0.571762013457048	0.633851930228492	0.489066318455906	0.424651528958394	0.533737069392712	0.400969681128242	0.294044521956686	0.390500395511262	0.358983734209313	0.40307123162842	0.41042505636364	1.0471975511966
P2	0.337454740689309	0.384615643569633	0.505738753493537	0.368059796096269	0.657517640027315	0.406332930462862	0.432076916963488	0.373119324060185	0.320332728666786	0.386642857435431	0.360464352178835	0.254620104870311	0.318798739052111	0.290308856146984	0.313111244920583	0.350336107120283	0.330127027041667	0.515796359606652	0.473615095117599	0	0.321837813163335	0.319772577668778	0.29483237880731	0.376450366662543	0.288537806399151	0.439883015217217	0.298403027770751	0.425524476576981	0.315363120568108	0.411686735184788	0.430207970027252	0.480200100628616	0.424956323532401	1.0471975511966
