	P1	P2	P3	P5	P7	P4	P6	P8-A	P9-A	L1	L2	L3	L4	L5	L6	L7	Ld1-A	Ld2-A	Ld3a-A	Ld4a-A	Ld5a-A	TD1	Liv1-A	Liv2-A	Liv3a-A	Liv3b-A	Liv4a-A	Di1-A	Di2-A	Di3a-A	Per3-A	Per4-A	Per5-A	X1a-A	X1b-A	X1c-A	Lun1-A	Lun2a-A	Lun2b-A	Me1-A	Per1-A	Per2-A	SB1-A	AG1a-A	AG2-A	Sp1a-A	Pan1a-A	X1d-A	P10-A	P11-A	P12-A	P13-A	Liv4b-A	AG1b-A	Pan1b-A	Sp1b-A	Di3b-A	Ld3b-A	Ld4b-A	Ld5b-A	Lun2c-A	Lun2d-A	N1
P1	0	0.472863793079678	0.557743142081317	0.567719788162638	0.441392094248905	0.516977832954938	0.41981395838941	0.974949263760308	0.420843572144502	0.612472566580123	0.554758816531466	0.892234394023034	0.608348346003096	0.622778413498277	0.84147125106805	1.14817400079611	0.54634348567383	0.930700226162502	0.803342252348604	0.848577418315776	1.02627932470565	0.81430519824524	0.852735850041291	0.868323220580508	0.901489254087003	0.886580608704655	0.946037887830538	0.972802201951145	0.926969384947568	0.889215262537461	1.02242463880518	1.00742343533137	0.925885357238166	0.906035287819399	0.8816323276194	0.919785168800637	0.776993195433266	0.805767689164459	0.786173579624341	0.862057784825468	0.935909408932865	0.901795869181659	0.797157712118927	0.860813713636952	0.991233194892802	0.79815948802523	0.782541933823634	0.91287106980191	0.952451924008231	0.993105279431986	0.980091869475193	0.590664925791851	0.73976644579006	0.887146708790835	0.969711772402198	0.932821681395501	0.788834307359692	0.885451688370516	0.950463251655243	0.662558212547401	0.771457772963635	0.918108482911031	1.0471975511966
P2	0.472863793079678	0	0.531626524116372	0.446550770870763	0.415710665301585	0.586562699781048	0.349618374043203	1.01908672497761	0.482006239714335	0.798231899666014	0.570998197996536	0.946669960464985	0.504371291639937	0.712944827823829	0.779169441328878	1.02063599265058	0.713944601024665	0.948971189673413	0.817368378643368	0.888673857973687	1.11235494135832	0.637829253785385	0.865792091579442	0.874988089142159	1.01464497925258	0.829727714610085	0.872813438788294	0.962549517462495	0.924845921816155	0.978462920529887	1.04018339891982	1.01535933689976	0.949062727722024	0.99121362302816	0.835800235055437	0.96315255079099	0.871174457983086	0.743926780843597	1.02581843719179	0.884212316996647	0.896929727152119	0.821084444154879	0.850405127470004	0.859881207589204	0.97936725240735	0.836707033825376	0.853766168587508	1.0014335003152	0.985602848595781	0.996444427227748	1.0397000676815	0.598769720350783	0.735460155503612	0.920837418408159	0.994140601900302	1.00884947909226	0.842581631187331	0.980482575080005	0.832395496256662	0.695413833134749	0.806040390188112	1.06342347234612	1.0471975511966
P3	0.557743142081317	0.531626524116372	0	0.260064400498427	0.438962589075859	0.772744421453968	0.484565403999734	0.734014995408065	0.684158058439206	0.5126870448402	0.685020536695222	0.767940647827603	0.534333726069082	0.642680532531972	0.41789988366919	0.80631959106936	0.82445112089017	0.697365853305808	0.604492915758619	0.690665102764549	0.898969341681183	0.497327537912471	0.550052342116634	0.604699810989167	0.673980357656683	0.513469548593237	0.704408767749213	0.701681829538863	0.623067467660742	0.680672589395702	0.805501641853172	0.795623791306515	0.608801829487979	0.757095112892197	0.664343652263666	0.638727608084512	0.960606902566547	1.06083897099364	1.00974489712628	0.598169074019429	0.615665842418105	0.593851606024383	0.578646026512635	0.607653148885496	0.673468038750665	0.655843332584134	0.57937332686726	0.787049014065748	0.727231292916119	0.760610643126585	0.790228882703033	0.797124865769085	0.501028569628515	0.610622781390929	0.713998210764432	0.774171127826101	0.621500514062026	0.78712641903575	0.763977435768869	0.4498884433278	0.979693619548401	1.2722497041886	1.0471975511966
P5	0.567719788162638	0.446550770870763	0.260064400498427	0	0.475378090366827	0.752433056312924	0.442254494115726	0.793142395275412	0.657755307421316	0.581106259612653	0.585609445605044	0.844778185390089	0.372204280861355	0.697459589343579	0.435264841258216	0.810690779512458	0.859352536486691	0.739774357165072	0.589469138209734	0.731701518967502	0.932263743186729	0.421680074346327	0.602993759447022	0.614746947756966	0.777600334708641	0.587942475451078	0.806306571344161	0.706881212892184	0.645746239248248	0.785581848487567	0.820329755329208	0.821948702423703	0.679550586297846	0.841901137476642	0.782120523053016	0.73083903151261	0.977057526493367	1.02410507550185	0.981640501692992	0.627952886443884	0.641327503692868	0.714921088202311	0.647908568930838	0.646832752059756	0.725630729817659	0.733709457907451	0.632065521430848	0.814731639171797	0.733927292513387	0.780559168395987	0.794200209963315	0.785530945515734	0.503493450006762	0.659931348929281	0.747989886980453	0.779344301072004	0.642695140890115	0.778381457521575	0.724472657027564	0.467641678605452	0.906080358629706	1.15766186494024	1.0471975511966
P7	0.441392094248905	0.415710665301585	0.438962589075859	0.475378090366827	0	0.684979215064294	0.403332837749711	0.864906353874191	0.651718230072088	0.677908097520948	0.62394812680637	0.946966866637312	0.585539927770711	0.646835527878612	0.686549826600879	1.08773648254006	0.728704584230995	0.823226745821283	0.744036876205258	0.791306653428577	1.02613809507471	0.741353185115511	0.74742218270513	0.796953977828152	0.791585302921418	0.715675634194066	0.719766632006626	0.933405105440133	0.844194354577023	0.823441236350207	0.99359134528386	0.940733443938756	0.813202765486357	0.849821024667187	0.681058808445905	0.835118641799534	0.935888722534345	0.868240747202116	1.0524109710064	0.809963612490713	0.813386725122761	0.71456832875368	0.72271044089472	0.765403304808984	0.849430008510835	0.706458052643232	0.749983708569311	0.87315340412854	0.923762207540443	0.980559703532879	0.977436846137814	0.755028478929089	0.667220215135148	0.828736242018275	0.890462041912393	0.923503814803689	0.783650254790787	0.949004386960735	0.889983469254953	0.591175516356445	0.849889189987068	1.15241386337634	1.0471975511966
P4	0.516977832954938	0.586562699781048	0.772744421453968	0.752433056312924	0.684979215064294	0	0.642419612093224	1.2622115144184	0.387471846503667	0.898440337475814	0.77089687290427	1.07428155039463	0.880683249984339	0.761081714245568	1.0198318881698	1.20153863670877	0.318400500734316	1.20904508574356	1.12859656488154	1.12875169180722	1.29060027011104	0.921974914506612	1.13740379235181	1.14715698330622	1.15266336559953	1.12909284745784	1.1826485476251	1.25207001839122	1.20373078198653	1.14072010358906	1.30124430307175	1.29953989994589	1.18932674222433	1.16995366840554	1.11327443128452	1.21162897806881	0.446358801651404	0.51436515968789	0.822962706418812	1.13836261746777	1.2014600467848	1.12141507124292	1.05577141364878	1.14870499843715	1.22132527847774	1.07636938289592	1.09376857123722	1.21412017587483	1.23383107099577	1.13827455891891	1.19639646371028	0.41028493168019	1.02085258111244	1.17095212086195	1.25764023227774	1.2082145602903	1.08896680793374	1.20150086560204	1.13414465506353	1.00307331510409	0.525779535067966	0.758065097260907	1.0471975511966
P6	0.41981395838941	0.349618374043203	0.484565403999734	0.442254494115726	0.403332837749711	0.642419612093224	0	0.997517297025423	0.470007989034305	0.721506335944585	0.585210526112894	1.02155595078828	0.42600251097872	0.716412067337354	0.77950659915962	1.13005331882624	0.755266956888212	0.969750834846713	0.806366280318385	0.901395809431098	1.09696384630076	0.603043701698415	0.84541587584303	0.856060680186946	0.929456922197825	0.869333410388718	0.930559942687936	0.958345581054589	0.923110185433632	0.987846846173836	1.05971537204333	1.02737475780109	0.914188337513107	0.986313721438222	0.920022267470468	0.935659006281361	0.893713719894676	0.826798922243449	1.00445660055036	0.868852022051251	0.877221569773264	0.907997788793486	0.819253866036529	0.840526459399647	0.977533359879496	0.87101022950017	0.822212794802075	0.969471610274732	0.938021400014309	1.02892299261914	1.02071346028938	0.650796730485425	0.729647587805783	0.880209484458121	0.989312570470988	0.980867499172342	0.838956945764637	0.950133247004741	0.902843366606609	0.630656234423962	0.819204603826201	0.961530929480032	1.0471975511966
P8-A	0.974949263760308	1.01908672497761	0.734014995408065	0.793142395275412	0.864906353874191	1.2622115144184	0.997517297025423	0	1.14442178248395	0.709922599505075	1.06615670160158	0.955734323473192	0.874102654763211	0.987251810171441	0.683747482545269	0.898803861856508	1.22659331833828	0.326713969907023	0.367631663572526	0.316975297428082	0.625990270039126	0.9575163615211	0.283138374646067	0.355996614402731	0.466718750558789	0.429556257231293	0.518828025760149	0.37441769987831	0.386597639907596	0.361813906898508	0.371458827398099	0.347991247218812	0.364851979822909	0.373165292169467	0.53280924419999	0.323698884565186	1.49699433484916	1.5719062985043	0.997304582606421	0.311989697965418	0.36961281554627	0.566915229429538	0.391437152221927	0.309750531798843	0.309896350359009	0.410620073373976	0.316119798363678	0.476345210377903	0.446354508465937	0.530793417249101	0.534094623948702	1.25961408534897	0.414923579617928	0.355017154230945	0.314877925373883	0.493208735930763	0.418046535590511	0.551213018718716	0.845654343189834	0.515674996676216	1.45020684907746	1.58927120529166	1.0471975511966
P9-A	0.420843572144502	0.482006239714335	0.684158058439206	0.657755307421316	0.651718230072088	0.387471846503667	0.470007989034305	1.14442178248395	0	0.843945366795978	0.724099840799719	1.0024545424335	0.697251678634889	0.826082168344868	0.968356071261347	1.19165962261186	0.485097492435244	1.09820244683658	0.981249946840281	1.01139402559412	1.2091345475029	0.853547222950438	1.01790737649176	1.00298005797993	1.10255049522357	1.03065425785512	1.11735546455334	1.07770732115195	1.06164540296693	1.07145630701232	1.14940388409333	1.14597227038936	1.0629142604368	1.09965637915818	1.06086666307449	1.0769300029701	0.64761847531147	0.694074478208578	0.844039899076988	0.982263714956586	1.04844805272195	1.05778469394993	0.954069915178604	1.00344733715607	1.1273431126173	0.983817655771512	0.960021106331848	1.07835794398911	1.04240189489418	1.00390910324654	1.05092694284697	0.287322474670312	0.885231216479003	1.02319315487187	1.12994969529518	1.06483689918748	0.92374791508621	0.990476915356141	0.935493118108293	0.821840864073226	0.698525006265108	0.795589226331743	1.0471975511966
L1	0.612472566580123	0.798231899666014	0.5126870448402	0.581106259612653	0.677908097520948	0.898440337475814	0.721506335944585	0.709922599505075	0.843945366795978	0	0.61208525347569	0.656502540778075	0.649032834933519	0.755451345761852	0.624198746121079	0.769132550125621	0.93608441906103	0.722491692738087	0.627400017860393	0.663976125248604	0.875579716998005	0.673677694833596	0.626716428201643	0.622270760522582	0.705279086283147	0.666329377671547	0.880472080744296	0.726455891522012	0.645618672464656	0.635801526065723	0.711208847002142	0.793611163619101	0.657046270937197	0.749473430120985	0.840204814949239	0.649483158532816	1.10214140375273	1.21697446020447	0.789091446710544	0.637625298860438	0.671064050712101	0.777663788699952	0.609023457010196	0.643954050778144	0.700125640078424	0.674592534060744	0.564151421718301	0.726717059736296	0.701099234159795	0.783261487618493	0.760384737083118	0.954115937561704	0.638029468557091	0.646844157563564	0.731015583506299	0.725973909946597	0.586392125982617	0.679819466608198	0.844532282881844	0.565077438665396	1.14441166621568	1.25689849069375	1.0471975511966
