	Per21	Per7	Per8	Per9	Per20	Per13	Per18	Per17	Per5	Per10	Per11	Per1	Per12	Per6	Per14	Per2	Per3	Per4	Per15	Per16	Per19	Liv1	L6	L5	TD3	TD2	TD1	L1	L2	TD4	L3	L4	PerOv1	P1	P6	P7	P8	P2	P3	P9	P4	P5	N1
Per11	0.509974993682093	0.175830222385487	0.19533816447417	0.304908773310691	0.266929657022755	0.475037092932334	0.233017534089429	0.592839579768184	0.262800574427007	0.255605610542761	0	0.360715901167941	0.267827666680342	0.14903683355873	0.299341854095452	0.246838152667874	0.261316930328713	0.178147751415573	0.222042549991306	0.270449319900462	0.186857444245981	0.290089371408669	0.369525029519051	0.274868561885799	0.390755283879829	0.216579217563366	0.296264540942695	0.189372400047925	0.239292948428932	0.425099541382071	0.235565236457891	0.249747493973721	0.235582375922175	0.427239912125527	0.249405004956483	0.237202865809618	0.264353172496505	0.297675179935186	0.285938747175177	0.583725872423533	0.259918165390382	0.230026701142376	1.0471975511966
Per1	0.425886043568714	0.356467015886205	0.236792398733658	0.402677382791445	0.401523587978416	0.676369509255511	0.363073983703505	0.705416252288889	0.354190346622149	0.257350898261253	0.360715901167941	0	0.284278343236519	0.326347142139106	0.392105139202691	0.334599080247249	0.327792918123599	0.32559183497684	0.457208109623399	0.394940175899385	0.379157029972425	0.28214488491247	0.592276208244411	0.435457733123115	0.442300560102241	0.250583741439225	0.341882537066885	0.272151419253536	0.450053989664922	0.371705938106485	0.289531066181745	0.207918288026796	0.248115958432363	0.442855300981833	0.235972614176896	0.220277328466108	0.314869910385069	0.230528510256006	0.237169496102239	0.570809295059512	0.237685324594185	0.315690564712418	1.0471975511966
Per12	0.442445994614955	0.329665094547451	0.226243915031431	0.236976299914278	0.251451722353942	0.534958833865158	0.326307174644849	0.601891928673605	0.30248242799667	0.226505033135792	0.267827666680342	0.284278343236519	0	0.245531675385725	0.28410523160525	0.259090049766951	0.323862140420683	0.255188676860167	0.336086863098221	0.313020834620966	0.326922466459753	0.316049797968332	0.441586296004882	0.295536721282305	0.303185477762441	0.291826674379915	0.352748449705167	0.231511293288878	0.388007585737766	0.374909351355323	0.290218469045166	0.22888587154542	0.269111073666425	0.373749339880832	0.225415967419869	0.279859630404658	0.331719178772851	0.291442927087993	0.297473934265957	0.476211368100297	0.239260355485724	0.28555769121532	1.0471975511966
Per6	0.478981298362604	0.193501079614072	0.166554427126405	0.291575356249949	0.25475547298834	0.459661061764017	0.227625980644236	0.578876351582752	0.232601088886655	0.215358109162178	0.14903683355873	0.326347142139106	0.245531675385725	0	0.278166025633762	0.240146985558218	0.207881959539314	0.172773106030174	0.262075958466555	0.254359243660228	0.223708299523799	0.270446280891474	0.378489534093173	0.251096576096414	0.381491749248227	0.191775805583672	0.288923164249013	0.161128207107873	0.248764758624282	0.397032251420515	0.2155951250328	0.229049480763583	0.199794901258523	0.419053473949441	0.2138229421293	0.232238448374227	0.244637621614287	0.276102737983734	0.253130099671683	0.556539184121323	0.236573746718432	0.186904910369554	1.0471975511966
Per14	0.522219939160073	0.311765235578148	0.272780174238837	0.267873850483523	0.334518746319947	0.323212647009739	0.305885436799723	0.589116931328744	0.31486408268928	0.306723621498046	0.299341854095452	0.392105139202691	0.28410523160525	0.278166025633762	0	0.377548896987435	0.317580798946058	0.276967114581363	0.367177331718627	0.156123256133494	0.272503701215429	0.275153368374527	0.388088052484018	0.21432730920158	0.382158438733097	0.346646093631516	0.269001607019704	0.309142464043748	0.298102125640879	0.371362017993019	0.272703131083898	0.313685017210004	0.281209588168011	0.444977257915622	0.274577599944469	0.283410852228052	0.3104807638909	0.331792929588919	0.31645618230244	0.581937719994376	0.233381377019214	0.307816296137551	1.0471975511966
Per2	0.37804629069131	0.271013292774209	0.23928832409702	0.295032247982689	0.296572058935973	0.560707440356533	0.257708709799426	0.583418938256894	0.276141434660083	0.263411707763932	0.246838152667874	0.334599080247249	0.259090049766951	0.240146985558218	0.377548896987435	0	0.312259633491399	0.231280335286921	0.25008689273208	0.355009385387395	0.290284061896346	0.31816113902521	0.419121093638067	0.349834024647628	0.408031499773036	0.216850283085169	0.318723568442374	0.175904973980317	0.330566836324474	0.488646604438909	0.279672742985023	0.255549424472053	0.250446728426013	0.279708697914772	0.2560415272825	0.303013608402377	0.277737038189718	0.32209144927733	0.289944780722064	0.510155328847009	0.262136083154544	0.251688929709274	1.0471975511966
Per3	0.535923855575879	0.252517262678853	0.168697415945498	0.377770043444227	0.286982395373878	0.47055690876901	0.206704456056386	0.63361689446252	0.191963065941283	0.192819373115375	0.261316930328713	0.327792918123599	0.323862140420683	0.207881959539314	0.317580798946058	0.312259633491399	0	0.184023173043207	0.343900377040036	0.283217520738976	0.278348870749563	0.254456211298356	0.429886106733161	0.26263908251065	0.466790434918725	0.191011858975073	0.26004649379594	0.217304293839259	0.254153041005176	0.370188945426086	0.140739885071248	0.189522593605618	0.156455338829592	0.462178906562988	0.212044030348607	0.18041871140154	0.192111962645783	0.23366893288826	0.229535913200881	0.59953768629409	0.239160188133663	0.188796615423848	1.0471975511966
Per4	0.509869112173417	0.208300658305934	0.127302095958586	0.302580899648361	0.208049371225137	0.455212628466194	0.153015080609859	0.538691441108569	0.150497281158353	0.18133731417354	0.178147751415573	0.32559183497684	0.255188676860167	0.172773106030174	0.276967114581363	0.231280335286921	0.184023173043207	0	0.227824666212681	0.251347205737191	0.221055639216056	0.245356375320009	0.359436373378539	0.190554635745424	0.406485261160813	0.14985748735053	0.238150275397258	0.119917056741987	0.230653598911388	0.436998109726628	0.132511906568172	0.193229608232307	0.142941273837572	0.395358007362894	0.211945866238431	0.204647137690659	0.192442099514855	0.244765292605928	0.240973859356538	0.505233702581191	0.209018389994439	0.178156475893265	1.0471975511966
Per15	0.531861751077563	0.235913536493006	0.283928079705061	0.351700622358297	0.228956889090723	0.447214978844323	0.212359586653473	0.451858880267078	0.245016412719602	0.314037948798544	0.222042549991306	0.457208109623399	0.336086863098221	0.262075958466555	0.367177331718627	0.25008689273208	0.343900377040036	0.227824666212681	0	0.306985375006448	0.247958206104468	0.38601158568429	0.309163645559822	0.311055447013545	0.41108075595117	0.279746061085433	0.348166538922695	0.250868420272586	0.288024793977359	0.568010965965649	0.300170578867072	0.334850191398629	0.311156106742013	0.452797624871647	0.32968497717402	0.360845196553558	0.332352991490574	0.389395490772221	0.372756520046505	0.472756742379277	0.345422433917346	0.297853984670719	1.0471975511966
Per16	0.494773845098098	0.247658464608792	0.244492093835062	0.335389982934194	0.289956860104777	0.317121272882406	0.237857288587639	0.533224076542312	0.275668983122304	0.305398901799	0.270449319900462	0.394940175899385	0.313020834620966	0.254359243660228	0.156123256133494	0.355009385387395	0.283217520738976	0.251347205737191	0.306985375006448	0	0.182935152346862	0.30089164326132	0.37195651767785	0.217282739382138	0.381806884947821	0.29195843250407	0.289431962781529	0.276949668266669	0.308274408617028	0.415360759661291	0.222603326452357	0.286559474392846	0.253757715283523	0.473762012454955	0.26467453033537	0.270801016627646	0.301512271422601	0.336629154281381	0.317507077590351	0.565774475934085	0.236039431220467	0.292401377123533	1.0471975511966
